x,y0,y1,y2,y3,y4,y5
13125,598,-89,-5061,353,2331,-366
13134,424,-133,-5357,417,2765,-394
13144,773,-330,-5376,555,3427,-476
13154,895,-399,-5689,588,3997,-633
13164,1097,-766,-5821,544,4681,-836
13175,1143,-885,-5980,721,5278,-1194
13185,1367,-1197,-5791,912,5932,-1613
13195,1374,-1209,-6160,1115,6864,-2107
13205,1086,-913,-6234,1034,7673,-2589
13216,894,-501,-6470,779,8281,-2836
13224,1304,-1146,-5779,506,8805,-2845
13234,1431,-760,-6166,1020,9136,-2870
13244,1822,-660,-6747,1489,9162,-2809
13254,1701,950,-7132,1731,8938,-2833
13265,1726,1164,-7993,331,8580,-2691
13275,1986,59,-6219,-1348,8290,-2464
13285,1365,-1300,-5399,-2011,8525,-2413
13295,14,-1795,-4546,-1364,8433,-2548
13304,-1881,-1214,-3740,-223,7782,-2889
13314,-3908,-505,-3345,347,6643,-3238
13324,-3683,-821,-4032,47,5319,-3055
13334,-4935,-1222,-5296,-133,2875,-2151
13345,-4102,-574,-4371,-8,-264,-966
13355,-2643,-367,-3147,-523,-1993,355
13365,-2064,-768,-2310,-1088,-2104,1470
13373,-2133,-1061,-2505,-930,-1913,2163
13383,-2192,-511,-3179,-200,-2328,2385
13394,-1886,629,-3713,159,-3187,2254
13404,-1460,962,-3621,-325,-3962,1931
13414,-1056,457,-3303,-927,-4551,1459
13424,-749,131,-3157,-897,-5012,825
13435,-431,315,-3406,-460,-5407,156
13445,-261,526,-3718,-161,-5708,-327
13453,-147,371,-4019,-110,-5973,-540
13463,87,96,-4291,-81,-6247,-509
13474,451,-111,-4551,50,-6516,-322
13484,888,-228,-4786,220,-6705,-81
13494,1260,-420,-5025,386,-6783,131
13504,1494,-642,-5189,576,-6784,262
